,,Total,Avon and Somerset,Bedfordshire,Cambridgeshire,Cheshire,City of London,Cleveland,Cumbria,Derbyshire,Devon and Cornwall,Dorset,Durham,Dyfed Powys,Essex,Gloucestershire,Greater Manchester,Gwent,Hampshire,Hertfordshire,Humberside,Kent,Lancashire,Leicestershire,Lincolnshire,London Met.,Merseyside,Norfolk,North Wales,North Yorkshire,Northamptonshire,Northumbria,Nottinghamshire,South Wales,South Yorkshire,Staffordshire,Suffolk,Surrey,Sussex,Thames Valley,Warwickshire,West Mercia,West Midlands,West Yorkshire,Wiltshire
,Afraid of dogs/nuisance dogs,*,-,-,3%,-,-,-,2%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2%,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Police do not do anything,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5%,-,-,-,-,-,1%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Other,1%,-,2%,-,-,-,-,2%,-,3%,4%,-,6%,-,-,1%,3%,-,-,3%,-,-,-,-,2%,-,-,-,-,-,3%,3%,-,-,-,-,-,-,-,6%,-,1%,1%,-
,Not specified,1%,3%,2%,-,4%,-,-,-,3%,-,-,3%,-,2%,-,-,1%,4%,8%,-,-,-,2%,-,*,-,7%,3%,-,-,-,3%,-,-,3%,-,-,-,-,-,-,1%,1%,-
,Don't know,4%,6%,2%,6%,4%,-,3%,7%,3%,3%,-,3%,6%,7%,-,2%,3%,-,-,-,9%,5%,5%,4%,3%,4%,-,3%,4%,4%,5%,8%,-,3%,3%,-,-,-,-,9%,5%,5%,5%,3%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.43.,"I am going to read out some different types of anti-social behaviour. For each one, please can you tell me whether or not you would report it if you personally witnessed or experienced it in your local area.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Noisy neighbours or loud parties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Definitely would report,37%,30%,33%,41%,32%,14%,28%,39%,32%,27%,35%,37%,43%,35%,31%,37%,39%,30%,33%,40%,35%,45%,38%,39%,42%,41%,27%,31%,46%,50%,36%,34%,33%,40%,37%,35%,35%,31%,34%,39%,35%,43%,32%,39%
,Probably would report,26%,25%,25%,23%,29%,57%,22%,26%,27%,30%,37%,23%,22%,30%,33%,22%,25%,26%,30%,24%,24%,24%,26%,24%,25%,25%,30%,33%,23%,30%,26%,25%,28%,26%,26%,33%,30%,30%,26%,25%,24%,25%,30%,29%
,Probably would not report,26%,29%,30%,30%,29%,-,41%,27%,28%,31%,22%,30%,25%,23%,28%,28%,28%,30%,27%,29%,28%,23%,25%,19%,22%,27%,35%,31%,24%,14%,30%,24%,24%,27%,26%,25%,24%,29%,25%,26%,28%,22%,29%,21%
,Definitely would not report,8%,14%,12%,4%,7%,29%,9%,6%,10%,7%,5%,6%,10%,7%,5%,10%,5%,11%,10%,6%,12%,6%,9%,15%,9%,7%,6%,6%,6%,4%,8%,12%,11%,4%,8%,6%,10%,10%,10%,9%,10%,8%,8%,5%
,Don't know,2%,2%,-,2%,2%,-,1%,2%,4%,5%,1%,4%,1%,5%,3%,3%,4%,4%,1%,2%,1%,3%,2%,3%,2%,-,2%,-,2%,2%,1%,4%,4%,4%,4%,2%,2%,1%,5%,2%,4%,2%,1%,6%
,WOULD REPORT,63%,55%,58%,64%,62%,71%,50%,65%,58%,57%,71%,60%,65%,64%,64%,59%,64%,55%,62%,63%,59%,69%,64%,63%,67%,66%,57%,63%,68%,80%,61%,59%,62%,65%,63%,67%,64%,60%,60%,63%,59%,68%,62%,68%
,WOULD NOT REPORT,35%,43%,42%,34%,36%,29%,50%,33%,38%,38%,28%,36%,34%,31%,33%,38%,32%,41%,37%,35%,40%,28%,34%,34%,32%,34%,41%,37%,30%,18%,38%,36%,34%,31%,33%,31%,34%,39%,35%,35%,37%,30%,37%,26%
,NET WOULD REPORT,28%,12%,16%,30%,25%,43%,0%,31%,20%,19%,44%,24%,30%,34%,31%,21%,31%,15%,26%,29%,19%,40%,30%,29%,35%,32%,17%,27%,39%,63%,24%,23%,27%,35%,30%,37%,31%,22%,25%,29%,22%,38%,25%,42%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.43.,"I am going to read out some different types of anti-social behaviour. For each one, please can you tell me whether or not you would report it if you personally witnessed or experienced it in your local area.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Teenagers hanging around on the streets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Definitely would report,23%,20%,19%,25%,32%,-,33%,19%,24%,20%,16%,25%,25%,24%,19%,25%,26%,17%,21%,28%,16%,20%,28%,27%,23%,30%,15%,18%,30%,31%,29%,25%,22%,27%,24%,14%,20%,13%,16%,27%,21%,27%,25%,17%
,Probably would report,21%,31%,23%,23%,25%,43%,24%,17%,22%,23%,28%,29%,10%,24%,16%,18%,22%,15%,24%,28%,18%,32%,18%,18%,22%,20%,28%,13%,18%,24%,18%,24%,16%,17%,27%,21%,15%,12%,17%,21%,18%,22%,22%,22%
,Probably would not report,37%,30%,36%,32%,32%,43%,32%,48%,38%,36%,35%,30%,37%,36%,48%,39%,40%,50%,40%,26%,42%,32%,40%,32%,35%,35%,33%,50%,29%,30%,36%,26%,38%,39%,38%,50%,39%,52%,40%,37%,38%,36%,37%,40%
,Definitely would not report,16%,16%,21%,19%,9%,14%,8%,13%,14%,20%,15%,15%,25%,12%,16%,16%,10%,19%,13%,17%,20%,16%,11%,19%,17%,14%,19%,18%,22%,14%,15%,22%,21%,15%,10%,14%,23%,20%,23%,15%,17%,13%,14%,17%
,Don't know,2%,3%,1%,1%,2%,-,4%,3%,2%,1%,6%,1%,3%,4%,1%,2%,1%,-,3%,2%,4%,-,3%,3%,2%,1%,5%,2%,2%,1%,3%,3%,4%,3%,1%,2%,4%,3%,4%,1%,6%,1%,3%,3%
,WOULD REPORT,44%,51%,42%,48%,57%,43%,56%,36%,46%,43%,44%,54%,34%,49%,35%,43%,48%,32%,45%,55%,34%,52%,46%,46%,46%,50%,43%,31%,48%,55%,47%,49%,37%,44%,50%,35%,35%,25%,33%,48%,39%,49%,46%,40%
,WOULD NOT REPORT,53%,46%,57%,51%,41%,57%,40%,61%,52%,56%,50%,45%,63%,48%,64%,55%,50%,68%,52%,43%,62%,48%,51%,51%,52%,49%,52%,67%,50%,44%,50%,47%,59%,53%,49%,63%,61%,72%,63%,51%,55%,50%,51%,57%
,NET WOULD REPORT,-9%,5%,-15%,-3%,16%,-14%,17%,-25%,-6%,-13%,-6%,9%,-28%,1%,-29%,-11%,-2%,-37%,-8%,13%,-28%,4%,-5%,-6%,-7%,1%,-10%,-37%,-3%,11%,-4%,2%,-22%,-10%,2%,-29%,-27%,-48%,-30%,-4%,-16%,-1%,-4%,-17%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.43.,"I am going to read out some different types of anti-social behaviour. For each one, please can you tell me whether or not you would report it if you personally witnessed or experienced it in your local area.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rubbish or litter lying around,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Definitely would report,25%,19%,16%,20%,25%,14%,27%,29%,26%,16%,21%,28%,27%,26%,17%,23%,29%,17%,26%,25%,24%,25%,26%,17%,28%,28%,21%,30%,25%,30%,25%,29%,25%,26%,27%,14%,24%,26%,19%,17%,24%,31%,24%,25%
,Probably would report,21%,21%,26%,29%,23%,43%,22%,20%,22%,19%,21%,19%,14%,22%,23%,21%,23%,14%,17%,22%,22%,30%,23%,22%,21%,23%,17%,20%,20%,23%,26%,24%,24%,25%,20%,21%,19%,19%,21%,25%,23%,20%,22%,18%
,Probably would not report,34%,38%,35%,39%,36%,43%,39%,30%,35%,40%,38%,35%,39%,35%,37%,34%,34%,44%,42%,28%,33%,26%,28%,37%,32%,28%,36%,33%,32%,29%,33%,24%,30%,32%,35%,43%,42%,40%,37%,34%,31%,30%,34%,36%
,Definitely would not report,19%,22%,21%,12%,13%,-,12%,19%,16%,22%,20%,15%,18%,15%,23%,21%,13%,25%,15%,23%,21%,19%,22%,22%,18%,21%,20%,18%,23%,18%,17%,19%,21%,17%,17%,22%,12%,16%,21%,23%,20%,19%,19%,19%
,Don't know,1%,-,2%,-,4%,-,1%,2%,1%,3%,1%,3%,2%,2%,-,1%,1%,1%,1%,3%,-,-,1%,1%,*,-,5%,-,1%,-,-,3%,1%,1%,1%,1%,4%,-,1%,2%,2%,1%,1%,1%
,WOULD REPORT,46%,40%,42%,49%,47%,57%,49%,49%,48%,35%,42%,47%,41%,49%,40%,44%,52%,31%,43%,47%,46%,55%,49%,40%,49%,51%,39%,50%,45%,53%,50%,53%,48%,50%,47%,35%,43%,45%,41%,42%,47%,50%,46%,44%
,WOULD NOT REPORT,53%,60%,56%,51%,49%,43%,50%,49%,52%,62%,57%,50%,57%,50%,60%,55%,47%,68%,56%,50%,54%,45%,50%,59%,50%,49%,56%,50%,54%,47%,50%,43%,51%,49%,52%,64%,53%,55%,58%,56%,51%,49%,53%,55%
,NET WOULD REPORT,-7%,-20%,-14%,-2%,-2%,14%,-2%,0%,-4%,-27%,-15%,-3%,-16%,-1%,-20%,-11%,5%,-38%,-14%,-4%,-8%,10%,-1%,-19%,-1%,2%,-17%,-1%,-10%,6%,1%,10%,-3%,2%,-6%,-30%,-11%,-11%,-17%,-15%,-5%,2%,-7%,-12%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.43.,"I am going to read out some different types of anti-social behaviour. For each one, please can you tell me whether or not you would report it if you personally witnessed or experienced it in your local area.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Vandalism, graffiti and other deliberate damage to property or vehicles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Definitely would report,73%,72%,64%,71%,75%,86%,72%,77%,73%,67%,81%,84%,75%,78%,65%,74%,79%,76%,70%,80%,75%,75%,77%,83%,60%,76%,71%,84%,75%,80%,75%,80%,70%,67%,79%,68%,69%,75%,68%,87%,72%,72%,71%,76%
,Probably would report,19%,21%,29%,20%,19%,14%,26%,18%,22%,25%,16%,10%,13%,18%,32%,18%,13%,12%,21%,14%,19%,21%,18%,11%,24%,17%,17%,10%,20%,16%,17%,15%,18%,27%,16%,30%,24%,19%,23%,11%,14%,18%,23%,17%
,Probably would not report,5%,3%,6%,6%,5%,-,2%,3%,2%,6%,1%,5%,8%,4%,2%,5%,7%,6%,8%,5%,3%,1%,4%,5%,12%,3%,11%,4%,4%,2%,5%,2%,5%,3%,1%,1%,4%,5%,8%,1%,8%,5%,4%,2%
,Definitely would not report,2%,3%,2%,2%,-,-,-,1%,2%,1%,1%,1%,3%,1%,-,2%,1%,5%,1%,1%,2%,2%,2%,1%,4%,4%,1%,2%,-,2%,3%,3%,7%,2%,1%,1%,2%,1%,1%,1%,3%,4%,2%,4%
,Don't know,1%,1%,-,1%,2%,-,-,1%,-,1%,1%,-,1%,-,1%,1%,-,1%,-,-,1%,1%,-,1%,1%,-,1%,-,1%,-,-,1%,1%,1%,3%,-,1%,-,-,-,3%,1%,*,2%
,WOULD REPORT,92%,93%,92%,91%,93%,100%,98%,96%,96%,92%,97%,94%,88%,95%,97%,92%,93%,88%,91%,94%,94%,96%,95%,93%,83%,93%,87%,94%,95%,96%,92%,95%,87%,94%,95%,98%,93%,94%,91%,98%,87%,90%,93%,92%
,WOULD NOT REPORT,7%,6%,8%,8%,5%,-,2%,3%,4%,7%,2%,6%,11%,5%,2%,7%,7%,11%,9%,6%,5%,3%,5%,6%,16%,7%,12%,6%,4%,4%,8%,4%,12%,5%,2%,2%,6%,6%,9%,2%,10%,9%,6%,6%
,NET WOULD REPORT,86%,87%,85%,83%,88%,100%,96%,92%,91%,85%,96%,88%,77%,91%,95%,85%,85%,77%,82%,88%,89%,93%,89%,87%,68%,86%,76%,88%,91%,92%,84%,91%,75%,89%,93%,96%,87%,88%,83%,96%,76%,81%,87%,86%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.43.,"I am going to read out some different types of anti-social behaviour. For each one, please can you tell me whether or not you would report it if you personally witnessed or experienced it in your local area.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"People being harassed because of their skin colour, ethnic origin, religion, handicap or disability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Definitely would report,70%,71%,65%,68%,64%,100%,65%,73%,68%,69%,78%,77%,70%,68%,72%,69%,70%,67%,58%,70%,70%,66%,78%,76%,67%,76%,62%,77%,68%,75%,70%,75%,68%,65%,70%,67%,62%,70%,67%,69%,63%,73%,70%,77%
,Probably would report,20%,17%,23%,21%,24%,-,22%,21%,22%,26%,14%,19%,17%,22%,15%,21%,23%,21%,29%,20%,19%,22%,16%,15%,22%,15%,30%,16%,22%,14%,19%,16%,21%,21%,16%,20%,31%,18%,24%,25%,26%,15%,19%,17%
,Probably would not report,6%,8%,9%,6%,7%,-,5%,3%,7%,2%,5%,3%,6%,1%,8%,5%,5%,6%,5%,4%,7%,8%,3%,4%,7%,7%,4%,4%,8%,9%,10%,5%,6%,11%,6%,10%,2%,9%,5%,4%,8%,8%,5%,3%
,Definitely would not report,3%,3%,4%,2%,4%,-,6%,2%,2%,2%,1%,1%,3%,4%,2%,4%,1%,3%,7%,5%,3%,4%,2%,6%,1%,1%,2%,1%,2%,-,1%,3%,5%,2%,5%,1%,5%,2%,3%,1%,3%,3%,4%,2%
,Don't know,2%,1%,-,3%,2%,-,2%,2%,1%,1%,2%,-,5%,5%,3%,1%,1%,3%,1%,1%,1%,1%,1%,-,2%,1%,2%,2%,-,2%,-,1%,1%,1%,3%,2%,-,1%,1%,1%,1%,1%,2%,2%
,WOULD REPORT,90%,88%,88%,89%,87%,100%,87%,94%,91%,95%,92%,96%,86%,91%,87%,90%,93%,88%,87%,90%,89%,87%,94%,90%,90%,91%,92%,93%,90%,89%,89%,91%,88%,86%,87%,87%,93%,88%,91%,94%,89%,88%,89%,93%
,WOULD NOT REPORT,9%,11%,12%,8%,11%,-,11%,4%,9%,4%,6%,4%,9%,5%,10%,9%,6%,9%,12%,9%,10%,12%,5%,10%,8%,8%,6%,5%,10%,9%,11%,9%,11%,13%,10%,11%,7%,11%,8%,5%,10%,11%,9%,5%
,NET WOULD REPORT,81%,77%,75%,81%,76%,100%,76%,89%,82%,91%,86%,92%,77%,86%,77%,80%,87%,79%,75%,81%,79%,75%,88%,81%,81%,83%,86%,88%,80%,80%,78%,82%,77%,73%,76%,76%,86%,77%,83%,89%,78%,78%,80%,88%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.43.,"I am going to read out some different types of anti-social behaviour. For each one, please can you tell me whether or not you would report it if you personally witnessed or experienced it in your local area.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,People using or dealing drugs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Definitely would report,76%,77%,72%,78%,77%,86%,73%,81%,75%,74%,86%,80%,76%,79%,73%,73%,78%,78%,65%,84%,72%,76%,84%,83%,66%,79%,72%,81%,86%,77%,78%,76%,76%,78%,81%,79%,74%,68%,76%,84%,75%,77%,76%,82%
,Probably would report,12%,15%,14%,10%,14%,14%,17%,10%,16%,15%,10%,14%,9%,9%,12%,13%,15%,12%,13%,11%,18%,12%,9%,8%,16%,10%,14%,9%,11%,11%,7%,9%,11%,11%,10%,9%,11%,16%,16%,6%,15%,12%,13%,11%
,Probably would not report,7%,5%,9%,8%,6%,-,5%,5%,6%,8%,4%,3%,4%,7%,10%,8%,6%,5%,14%,4%,6%,10%,5%,4%,12%,6%,12%,5%,1%,8%,9%,6%,8%,9%,7%,9%,9%,10%,4%,3%,5%,5%,6%,6%
,Definitely would not report,3%,2%,3%,1%,1%,-,3%,3%,3%,2%,-,3%,6%,2%,2%,5%,1%,3%,6%,1%,4%,2%,2%,4%,4%,5%,3%,2%,2%,1%,6%,6%,4%,1%,1%,1%,3%,2%,3%,6%,5%,5%,3%,1%
,Don't know,1%,1%,2%,3%,2%,-,2%,1%,1%,1%,1%,-,5%,4%,3%,1%,1%,2%,2%,-,-,-,-,1%,2%,-,-,3%,-,3%,-,3%,1%,1%,2%,2%,3%,4%,2%,1%,-,1%,1%,1%
,WOULD REPORT,89%,92%,87%,88%,91%,100%,90%,91%,91%,89%,96%,94%,85%,88%,85%,86%,93%,90%,78%,95%,90%,88%,93%,91%,82%,89%,85%,90%,97%,88%,85%,84%,87%,89%,90%,88%,85%,84%,91%,90%,90%,88%,89%,92%
,WOULD NOT REPORT,10%,7%,11%,9%,7%,-,8%,8%,9%,10%,4%,6%,10%,8%,12%,13%,7%,8%,20%,5%,10%,12%,7%,8%,16%,11%,15%,7%,3%,9%,15%,12%,12%,10%,8%,10%,12%,12%,7%,9%,10%,10%,10%,7%
,NET WOULD REPORT,79%,85%,75%,79%,84%,100%,82%,82%,82%,79%,92%,88%,75%,79%,73%,72%,86%,82%,58%,90%,80%,76%,86%,83%,66%,78%,71%,83%,94%,79%,70%,72%,75%,79%,83%,78%,73%,72%,84%,81%,81%,78%,79%,85%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.43.,"I am going to read out some different types of anti-social behaviour. For each one, please can you tell me whether or not you would report it if you personally witnessed or experienced it in your local area.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,People being drunk or rowdy in public places,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Definitely would report,30%,27%,29%,35%,29%,57%,28%,29%,30%,25%,34%,33%,33%,28%,19%,30%,34%,32%,21%,38%,30%,25%,31%,36%,22%,29%,22%,35%,37%,34%,31%,38%,26%,29%,31%,30%,25%,29%,23%,43%,28%,36%,27%,34%
,Probably would report,28%,33%,25%,30%,34%,14%,26%,28%,29%,29%,28%,33%,17%,29%,35%,26%,28%,24%,33%,26%,31%,40%,29%,27%,27%,28%,32%,28%,24%,27%,27%,25%,19%,31%,31%,25%,30%,19%,30%,22%,28%,29%,26%,25%
,Probably would not report,32%,30%,41%,28%,28%,29%,32%,36%,33%,31%,31%,22%,25%,35%,34%,34%,30%,31%,32%,28%,26%,26%,29%,26%,36%,33%,33%,30%,28%,31%,32%,21%,41%,30%,27%,42%,38%,42%,35%,27%,34%,26%,34%,27%
,Definitely would not report,9%,6%,5%,5%,4%,-,11%,4%,6%,10%,7%,9%,20%,7%,9%,9%,7%,12%,12%,7%,13%,9%,7%,9%,12%,10%,10%,8%,11%,5%,8%,15%,12%,6%,8%,4%,8%,7%,9%,6%,7%,8%,8%,10%
,Don't know,2%,4%,1%,2%,4%,-,4%,3%,2%,5%,-,3%,5%,1%,3%,1%,1%,2%,3%,2%,-,-,4%,2%,3%,-,3%,-,1%,2%,3%,2%,2%,5%,3%,-,-,4%,3%,3%,4%,1%,4%,4%
,WOULD REPORT,58%,60%,53%,65%,64%,71%,53%,57%,59%,54%,62%,66%,50%,57%,54%,56%,62%,55%,53%,63%,61%,65%,60%,63%,50%,57%,54%,62%,60%,62%,57%,63%,45%,59%,63%,54%,54%,48%,53%,64%,55%,65%,54%,59%
,WOULD NOT REPORT,40%,36%,46%,33%,32%,29%,43%,41%,39%,41%,38%,31%,45%,42%,43%,43%,37%,43%,44%,35%,39%,35%,36%,35%,48%,43%,43%,38%,39%,36%,40%,35%,53%,36%,34%,46%,46%,49%,44%,33%,41%,34%,43%,37%
,NET WOULD REPORT,18%,24%,8%,32%,31%,43%,11%,16%,20%,13%,23%,35%,5%,15%,11%,13%,25%,13%,10%,29%,22%,29%,24%,28%,2%,14%,12%,25%,22%,25%,18%,28%,-8%,24%,29%,9%,9%,-1%,10%,32%,14%,32%,11%,22%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.43.,"I am going to read out some different types of anti-social behaviour. For each one, please can you tell me whether or not you would report it if you personally witnessed or experienced it in your local area.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abandoned or burnt out cars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Definitely would report,62%,65%,57%,63%,72%,57%,68%,63%,65%,56%,63%,71%,57%,54%,62%,66%,60%,53%,63%,67%,66%,69%,69%,57%,53%,72%,63%,66%,62%,75%,65%,66%,63%,56%,58%,53%,54%,59%,56%,64%,62%,65%,65%,60%
,Probably would report,20%,25%,22%,23%,18%,29%,20%,21%,19%,24%,18%,16%,19%,27%,16%,18%,23%,28%,15%,21%,16%,20%,18%,28%,20%,13%,14%,16%,24%,13%,18%,18%,17%,25%,24%,24%,27%,21%,28%,17%,20%,18%,18%,20%
,Probably would not report,12%,6%,17%,10%,8%,-,8%,12%,12%,12%,15%,7%,12%,14%,15%,10%,11%,13%,17%,8%,12%,9%,10%,9%,17%,6%,15%,12%,10%,11%,15%,9%,8%,12%,11%,19%,13%,14%,11%,13%,12%,13%,11%,14%
,Definitely would not report,5%,4%,4%,4%,3%,14%,2%,3%,4%,5%,4%,5%,11%,4%,6%,5%,5%,4%,4%,2%,5%,3%,2%,4%,8%,8%,7%,5%,3%,2%,2%,7%,10%,4%,6%,4%,4%,4%,5%,6%,4%,4%,5%,4%
,Don't know,1%,-,-,-,-,-,2%,1%,1%,3%,-,1%,2%,1%,1%,1%,1%,2%,1%,2%,1%,-,1%,2%,2%,1%,2%,1%,1%,-,-,-,3%,3%,1%,-,2%,2%,-,-,2%,1%,*,2%
,WOULD REPORT,82%,90%,79%,86%,89%,86%,88%,84%,83%,80%,80%,87%,75%,81%,78%,84%,83%,81%,78%,88%,82%,88%,87%,85%,73%,85%,77%,82%,86%,87%,83%,84%,79%,81%,82%,77%,81%,80%,84%,81%,82%,83%,84%,81%
,WOULD NOT REPORT,17%,10%,21%,14%,11%,14%,10%,15%,16%,17%,20%,12%,23%,18%,21%,15%,16%,17%,21%,10%,17%,12%,13%,13%,25%,14%,21%,17%,13%,13%,17%,16%,18%,16%,17%,23%,17%,18%,16%,19%,16%,16%,16%,17%
,NET WOULD REPORT,66%,80%,58%,72%,78%,71%,78%,69%,67%,63%,61%,75%,53%,64%,57%,70%,67%,64%,57%,78%,65%,76%,74%,73%,48%,71%,55%,65%,73%,75%,66%,69%,62%,65%,65%,54%,64%,62%,69%,62%,66%,67%,68%,63%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.43.,"I am going to read out some different types of anti-social behaviour. For each one, please can you tell me whether or not you would report it if you personally witnessed or experienced it in your local area.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"People being insulted, pestered or intimidated in the street",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Definitely would report,54%,57%,48%,54%,47%,86%,49%,57%,50%,50%,63%,59%,63%,57%,58%,52%,58%,51%,50%,54%,46%,56%,50%,59%,50%,61%,53%,58%,50%,67%,53%,56%,49%,52%,56%,53%,52%,50%,56%,63%,49%,57%,56%,54%
,Probably would report,29%,29%,31%,31%,30%,-,37%,31%,35%,34%,25%,27%,18%,24%,28%,28%,30%,32%,34%,26%,36%,25%,33%,19%,32%,20%,25%,27%,38%,22%,29%,26%,28%,31%,26%,34%,28%,32%,31%,24%,29%,28%,28%,30%
,Probably would not report,12%,13%,15%,11%,16%,14%,8%,8%,10%,11%,9%,6%,13%,11%,10%,14%,11%,15%,9%,13%,14%,16%,13%,10%,12%,14%,16%,11%,11%,10%,15%,11%,16%,13%,11%,11%,14%,13%,11%,8%,17%,9%,11%,9%
,Definitely would not report,3%,1%,4%,4%,2%,-,2%,1%,4%,2%,-,4%,3%,4%,2%,5%,-,1%,5%,5%,1%,2%,2%,8%,3%,3%,2%,1%,1%,1%,3%,5%,5%,2%,3%,-,4%,4%,1%,5%,5%,3%,3%,3%
,Don't know,2%,-,2%,-,5%,-,5%,3%,1%,3%,3%,4%,4%,4%,2%,2%,1%,1%,3%,2%,3%,2%,2%,4%,2%,2%,4%,3%,-,1%,-,2%,2%,2%,4%,2%,2%,2%,1%,-,1%,2%,1%,4%
,WOULD REPORT,83%,86%,79%,85%,77%,86%,85%,88%,85%,84%,88%,86%,80%,81%,86%,80%,88%,83%,83%,80%,82%,80%,83%,79%,83%,81%,79%,85%,88%,88%,82%,82%,77%,83%,82%,87%,80%,81%,87%,87%,77%,86%,85%,84%
,WOULD NOT REPORT,15%,14%,19%,15%,18%,14%,10%,9%,14%,13%,9%,10%,16%,15%,12%,18%,11%,16%,14%,18%,15%,18%,15%,17%,16%,17%,17%,12%,12%,11%,18%,16%,21%,15%,14%,11%,18%,17%,12%,13%,22%,12%,14%,12%
,NET WOULD REPORT,69%,72%,60%,70%,60%,71%,75%,79%,71%,71%,79%,76%,65%,66%,74%,62%,77%,67%,69%,62%,67%,63%,68%,61%,67%,64%,61%,73%,76%,77%,64%,66%,57%,68%,68%,76%,62%,64%,76%,74%,55%,74%,70%,73%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.43.,"I am going to read out some different types of anti-social behaviour. For each one, please can you tell me whether or not you would report it if you personally witnessed or experienced it in your local area.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nuisance neighbours or problem families,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Definitely would report,49%,50%,40%,58%,44%,71%,46%,49%,47%,34%,52%,55%,56%,46%,47%,51%,52%,40%,49%,51%,50%,56%,52%,54%,47%,58%,41%,51%,49%,60%,50%,51%,44%,60%,55%,42%,39%,46%,41%,57%,47%,51%,51%,55%
,Probably would report,31%,31%,41%,29%,38%,14%,37%,35%,32%,44%,31%,31%,24%,37%,37%,29%,32%,38%,31%,33%,28%,30%,33%,27%,32%,23%,33%,25%,33%,25%,32%,25%,36%,24%,32%,37%,37%,40%,31%,24%,29%,30%,30%,29%
